id,smiles
F4.1,c1(cc2sccc2cc1cc3)c4c3cccc4
F4.2,s1ccc2c1cc1cc3ccccc3cc1c2
F4.3,s1c2cc3ccccc3cc2c2c1cccc2
F4.4,c1(ccc2sccc2c1cc3)c4c3cccc4
F4.5,c1(ccccc1cc2cc3)cc2c4c3scc4
F5.1,s1c2ccccc2c2cc3c(ccc4c3cccc4)cc12
F5.10,s1ccc2c1ccc1c2cc2ccc3c(cccc3)c2c1
F5.11,c1(cc2ccccc2cc1cc3cc4)cc3c5c4scc5
F5.12,c1(ccccc1cc2cc3)cc2c(c4)c3cc5c4scc5
F5.13,c1(ccccc1cc2cc3)cc2c(cc4)c3c5c4scc5
F5.2,c(c1c2)(c3ccccc3c4ccccc14)cc5c2scc5
F5.3,s1c2ccccc2c2cc3c(cc12)c1c(cccc1)cc3
F5.4,c1(c(ccc2c1c3ccccc3cc2)c4)cc5c4ccs5
F5.5,c1(ccccc1c2ccc3c4)ccc2c3cc5c4ccs5
F5.6,c1(sccc1cc2cc3cc4)cc2cc3c5c4cccc5
F5.7,s1ccc2c1cc1cc3cc4ccccc4cc3cc1c2
F5.8,c1(ccccc1cc2cc3)cc2c4c3ccc5c4scc5
F5.9,c1(ccccc1cc2c3ccccc43)cc2c5c4scc5
F6.1,s1ccc2c1cc1cc3cc4cc5ccccc5cc4cc3cc1c2
F6.10,s1c2ccccc2c2cc3c(cc12)cc1c(ccc2ccccc12)c3
F6.11,c(c1cc2c3)(c4ccccc4c5ccccc15)cc2cc6c3ccs6
F6.12,c1(cc2sccc2cc1c3ccccc43)c5c4c6ccccc6cc5
F6.13,c1(cc2sccc2cc1cc3)c4c3c5ccccc5c6ccccc46
F6.14,s1c2ccccc2c2cc3c4ccccc4c4ccccc4c3cc12
F6.15,s1ccc2cc3c(cc12)c1c(cc3)ccc2c1ccc1c2cccc1
F6.16,s1c2ccccc2c2cc3c(cc12)c1c(ccc2c1cccc2)cc3
F6.17,c1(cc2sccc2cc1cc3)c4c3c5ccc6ccccc6c5cc4
F6.18,c1(cc2sccc2cc1c3c4ccccc4ccc53)c6c5cccc6
F6.19,c1(c(ccc2c1cccc2)cc3cc4cc5)cc3cc4c6c5scc6
F6.2,c1(c(ccc2c1cccc2)cc3cc4c5)cc3cc4cc6c5ccs6
F6.20,c1(c(c2ccccc2c3c1cccc3)cc4cc5)cc4c6c5scc6
F6.21,c1(c(ccc2c1ccc3sccc23)cc4cc5)cc4c6c5cccc6
F6.22,s1ccc2c1c1cc3c4ccc5c(cccc5)c4ccc3cc1cc2
F6.23,s1ccc2c1ccc1c2c2c(cc1)c1c(cc2)cc2ccccc2c1
F6.24,c1(ccccc1cc2cc3)cc2c(ccc4c5)c3c4cc6c5scc6
F6.25,c1(ccccc1cc2cc3cc4)cc2cc3c(cc5)c4c6c5scc6
F6.26,c1(ccccc1cc2cc3)cc2c4c3c5ccccc5c6c4scc6
F6.27,s1ccc2c1c1ccccc1c1c2ccc2cc3c(cccc3)cc12
F6.28,s1ccc2cc3c(cc12)c1c(ccc2cc4ccccc4cc12)cc3
F6.29,s1ccc2c3ccc4c(c3ccc12)c1cc2c(cccc2)cc1cc4
F6.3,c1(cc2sccc2cc1cc3cc4)cc3c5c4cc6ccccc6c5
F6.30,c12cc3cc4ccccc4cc3cc1c5c(c6c2cccc6)scc5
F6.31,c12cc3cc4ccccc4cc3cc1ccc5c2c6sccc6cc5
F6.32,c12cc3cc4ccccc4cc3cc1ccc5c2cc6sccc6c5
F6.4,c1(cc2sccc2cc1cc3cc4)cc3c5c4c6ccccc6cc5
F6.5,s1c2cc3c(cc2c2c1cc1ccccc1c2)cc1ccccc1c3
F6.6,s1c2cc3c(cc2c2c1cccc2)cc1c(ccc2c1cccc2)c3
F6.7,s1c2cc3c(cc2c2c1cccc2)c1c(cc3)c2c(cccc2)cc1
F6.8,s1ccc2cc3c(ccc4c3ccc3c4c4ccccc4cc3)cc12
F6.9,c1(cc2sccc2cc1cc3cc4)cc3c5c4ccc6ccccc56
F7.1,s1ccc2cc3cc4cc5c(cc4cc3cc12)cc1c(ccc2c1cccc2)c5
F7.10,s1c2cc3cc4c(cc3cc2c2c1cc1ccccc1c2)c1c(cccc1)cc4
F7.11,s1ccc2cc3c(cc12)cc1c(ccc2c1ccc1c2ccc2c1cccc2)c3
F7.12,s1c2cc3cc4c(cc3cc2c2c1cccc2)c1c(cc4)c2c(cccc2)cc1
F7.13,s1ccc2cc3cc4c5ccc6c(cccc6)c5c5ccccc5c4cc3cc12
F7.14,s1ccc2c1cc1cc3c(ccc4c3cc3ccc5c(cc6c(c5)cccc6)c3c4)cc1c2
F7.15,s1ccc2cc3c(cc12)c1c(cc3)c2c3ccccc3c3ccccc3c2cc1
F7.16,s1ccc2c1c1c(cc2)ccc2cc3cc4ccc5ccccc5c4cc3cc12
F7.17,s1ccc2ccc3cc4cc5ccc6c(c5cc4cc3c12)c1c(cccc1)cc6
F7.18,s1ccc2c1c1c(ccc3c1cccc3)c1c2ccc2cc3ccccc3cc12
F7.19,s1ccc2c1ccc1c2c2c(cc1)c1c(ccc3cc4ccccc4cc13)cc2
F7.2,s1ccc2c1cc1cc3cc4c(ccc5c4cc4ccccc4c5)cc3cc1c2
F7.20,s1ccc2c1c1c(cc2)ccc2cc3c(ccc4c3c3c(cccc3)cc4)cc12
F7.21,s1ccc2c1c1c(cc2)c2c(cc1)c1c(ccc3cc4ccccc4cc13)cc2
F7.22,s1ccc2c1c1c(cccc1)c1c2cc2cc3c(ccc4c3cccc4)cc2c1
F7.23,s1ccc2c1c1cc3cc4c5ccccc5c5ccccc5c4cc3cc1cc2
F7.24,s1ccc2c1c1cc3c4ccccc4c4ccccc4c3cc1c1c2cccc1
F7.3,s1ccc2cc3c(cc12)cc1cc2c(ccc4c2ccc2c4cccc2)cc1c3
F7.4,s1ccc2c1cc1cc3c(ccc4c3ccc3c4cc4ccccc4c3)cc1c2
F7.5,s1c2cc3cc4cc5c(cc4cc3cc2c2c1cccc2)c1ccccc1cc5
F7.6,s1ccc2c1cc1cc3c(ccc4c3cc3ccc5c(cccc5)c3c4)cc1c2
F7.7,s1ccc2cc3c(cc12)cc1c(ccc2c1ccc1c2c2c(cccc2)cc1)c3
F7.8,s1c2cc3cc4c(cc3cc2c2c1cccc2)c1cc2ccccc2cc1cc4
F7.9,s1ccc2cc3c(cc12)cc1c(ccc2c1c1ccccc1c1c2cccc1)c3
F8.1,s1ccc2cc3cc4cc5cc6c(cc7c8c(ccc7c6)cccc8)cc5cc4cc3cc12
F8.10,s1c2cc3c(cccc3)cc2c2cc3c(cc12)cc1c(c3)c2ccccc2c2c1cccc2
F8.11,s1c2ccccc2c2cc3cc4cc5c(cc4cc3cc12)c1c(c2ccccc52)cccc1
F8.12,s1ccc2cc3c(cc12)c1c(cc3)c2c(cc1)c1ccc3c4ccccc4ccc3c1cc2
F8.13,s1ccc2cc3cc4c5ccccc5c5c(c4cc3cc12)ccc1ccc2ccccc2c51
F8.14,s1ccc2c1cc1cc3cc4c(ccc5c4cc4cc6c(cc4c5)cccc6)cc3cc1c2
F8.15,s1c2c(c3cc4cc5cc6c(cc5cc4cc13)cc1c(ccc3ccccc13)c6)cccc2
F8.16,s1ccc2cc3c(ccc4c3ccc3c4c4c(cc3)cc3c(c4)cc4ccccc4c3)cc12
F8.17,s1ccc2c1cc1c(ccc3cc4c(c5c(cc4)cc4c(c5)cc5ccccc5c4)cc13)c2
F8.18,s1ccc2c1c1c(cc2)cc2cc3c4c(ccc3cc2c1)ccc1c2ccccc2ccc41
F8.19,s1ccc2c1c1c(cccc1)c1c2cc2cc3c(cc2c1)c1c(cccc1)c1c3cccc1
F8.2,s1ccc2cc3c(cc12)cc1cc2cc4c5c(ccc4cc2cc1c3)cc1ccccc1c5
F8.20,s1ccc2c1ccc1cc3cc4cc5cc6ccc7ccccc7c6cc5cc4cc3cc21
F8.21,s1ccc2c1c1c(cc2)c2c(cc1)c1c(c3c(cc1)c1cc4ccccc4cc1cc3)cc2
F8.22,s1ccc2cc3c(ccc4c3ccc3c4ccc4c3ccc3c4cc4ccccc4c3)cc12
F8.23,s1ccc2c1ccc1c2ccc2cc3c(ccc4c3ccc3c4cc4ccccc4c3)cc12
F8.24,s1ccc2cc3cc4c(ccc5c4ccc4c5cc5cc6ccccc6cc5c4)cc3cc12
F8.3,s1ccc2cc3c(cc12)cc1cc2cc4c(ccc5c4ccc4c5cccc4)cc2cc1c3
F8.4,s1ccc2cc3c(cc12)cc1cc2c(ccc4c2ccc2c4cc4ccccc4c2)cc1c3
F8.5,s1ccc2cc3c(cc12)cc1cc2c4c(ccc2cc1c3)ccc1cc2ccccc2cc41
F8.6,s1ccc2c1cc1cc3c(ccc4c3c3c(cc4)c4c(cc3)c3c(cccc3)cc4)cc1c2
F8.7,s1ccc2cc3c(cc12)cc1c(ccc2c1cc1ccc4c(cc5ccccc5c4)c1c2)c3
F8.8,s1ccc2cc3cc4c(cc3cc12)c1c(cc4)c2c(cc1)cc1c3c(ccc1c2)cccc3
F8.9,s1ccc2cc3c(cc12)cc1cc2cc4c(cc2cc1c3)c1ccccc1c1c4cccc1
T4.1,c1(cc2sccc2cc1cc3)c4c3scc4
T4.2,c1(cc2sccc2cc1c3)cc4c3scc4
T5.1,c1(c(ccc2c1ccs2)cc3cc4)cc3c5c4scc5
T5.2,c1(c(ccc2c1cc3c(c2)scc3)c4)cc5c4ccs5
T5.3,c1(c(ccc2c1c3c(cc2)scc3)c4)cc5c4ccs5
T5.4,c1(c(ccc2c1ccc3c2scc3)c4)cc5c4ccs5
T5.5,c1(cc2sccc2cc1cc3cc4)cc3c5c4scc5
T5.6,c1(cc2sccc2cc1cc3c4)cc3cc5c4scc5
T5.7,s1ccc2cc3c(cc12)c1c(scc1)c1c3cccc1
T6.1,c1(c2)cc3cc4cc(ccs5)c5cc4cc3cc1cc6c2scc6
T6.10,c12cc3ccccc3cc1ccc(c4c5scc4)c2c6c5scc6
T6.11,s1ccc2c1cc1c(ccc3c1c1c(cc3)c3c(ccs3)cc1)c2
T6.12,c1(c(ccc2c1c3ccccc3c4sccc24)c5)cc6c5ccs6
T6.13,s1ccc2c1cc1c3c(scc3)c3c(ccc4c3cccc4)c1c2
T6.14,s1ccc2cc3c4ccccc4c4c5c(ccs5)ccc4c3cc12
T6.15,c1(cc2sccc2cc1cc3)c4c3c5ccc6sccc6c5cc4
T6.16,s1ccc2cc3c4ccsc4c4ccc5c(cccc5)c4c3cc12
T6.17,s1ccc2cc3c4ccccc4c4ccc5c(ccs5)c4c3cc12
T6.18,c1(cc2sccc2cc1cc3)c4c3c5ccccc5c6sccc46
T6.19,c1(cc2sccc2cc1cc3)c(cc4)c3c(c4cc5)c6c5scc6
T6.2,s1ccc2cc3cc4c(cc3cc12)cc1c2c(scc2)ccc1c4
T6.20,c(cc1c2c3scc2)(c(cc1cc3)cc4cc5)cc4c6c5scc6
T6.21,s1ccc2c1ccc1cc3c(cc21)c1c(ccc2c1ccs2)cc3
T6.22,c1(c(ccc2c1ccc3sccc23)cc4cc5)cc4c6c5scc6
T6.3,c1(cc2cc3sccc3cc2cc1cc4)c5c4cc6sccc6c5
T6.4,c1(cc2cc3sccc3cc2cc1cc4)c5c4c6sccc6cc5
T6.5,s1ccc2cc3c(cc12)c1c(cc3)c2cc3c(ccs3)cc2cc1
T6.6,s1ccc2cc3c(cc12)c1c(cccc1)c1cc2c(ccs2)cc31
T6.7,c1(cc2cc3sccc3cc2cc1c4c5scc4)c6c5cccc6
T6.8,c1(cc2cc3sccc3cc2cc1cc4)c5c4ccc6c5scc6
T6.9,s1ccc2cc3c(ccc4c3c3cc5c(ccs5)cc3cc4)cc12
T7.1,s1ccc2cc3cc4cc5c(cc4cc3cc12)cc1c2c(scc2)ccc1c5
T7.10,s1ccc2cc3cc4c(cc3cc12)c1cc2cc3c(ccs3)cc2cc1cc4
T7.11,s1ccc2c1cc1cc3c(ccc4c3ccc3c4ccc4c3scc4)cc1c2
T7.12,s1ccc2c1ccc1cc3cc4c(cc3cc21)c1c(cc4)c2c(scc2)cc1
T7.13,s1ccc2c1cc1ccc3c(ccc4c3cc3c5c(scc5)ccc3c4)c1c2
T7.14,s1ccc2cc3cc4c(cc3cc12)c1c(c2c(scc2)cc1)c1c4cccc1
T7.15,s1ccc2cc3c(cc12)c1c(cc2ccccc2c1)c1c3cc2ccsc2c1
T7.16,s1ccc2c1ccc1cc3c(ccc4cc5c(ccc6c5ccs6)cc34)cc21
T7.17,s1ccc2c1ccc1cc3c(cc21)c1c(scc1)c1c3ccc2ccccc12
T7.18,s1ccc2c1cc1c(ccc3c1ccc1c3c3c(scc3)c3c1cccc3)c2
T7.2,s1ccc2c1ccc1c2c2c(cc3ccccc3c2)c2c1ccc1c2ccs1
T7.3,s1ccc2cc3cc4c(cc3cc12)cc1c(ccc2c1ccc1c2scc1)c4
T7.4,s1ccc2cc3c(cc12)cc1c(ccc2c1ccc1c2cc2sccc2c1)c3
T7.5,s1ccc2c1ccc1cc3cc4cc5c(cc4cc3cc21)c1c(scc1)cc5
T7.6,s1ccc2c1cc1cc3c(ccc4c3cc3ccc5c(ccs5)c3c4)cc1c2
T7.7,s1ccc2c1cc1cc3c(ccc4c3ccc3c4c4c(scc4)cc3)cc1c2
T7.8,s1ccc2cc3cc4c(cc3cc12)cc1c(ccc2c1c1c(scc1)cc2)c4
T7.9,s1ccc2cc3cc4cc5cc6cc7c(ccs7)cc6cc5cc4cc3cc12
T8.1,s1ccc2c1cc1cc3cc4cc5cc6c7c(scc7)ccc6cc5cc4cc3cc1c2
T8.10,s1ccc2c3ccc4cc5cc6c(cc5cc4c3ccc12)c1c(cccc1)c1c6ccs1
T8.11,s1ccc2c1cc1cc3c(ccc4c3cc3c(ccc5c3ccc3c5ccs3)c4)cc1c2
T8.12,s1ccc2cc3cc4c5ccccc5c5c6ccc7ccsc7c6ccc5c4cc3cc12
T8.13,s1ccc2c1cc1cc3cc4c(ccc5cc6cc7c(scc7)cc6cc45)cc3cc1c2
T8.14,s1ccc2c3cc4cc5cc6cc7ccc8c(ccs8)c7cc6cc5cc4cc3ccc12
T8.15,s1ccc2c1ccc1c2c2c(c3c(scc3)cc2)c2c1cc1cc3ccccc3cc1c2
T8.16,s1ccc2c1ccc1c2c2c(ccc3c2ccs3)c2c1cc1cc3ccccc3cc1c2
T8.2,s1ccc2c1cc1cc3cc4cc5c(ccc6cc7c(scc7)cc56)cc4cc3cc1c2
T8.3,s1ccc2c3ccc4cc5cc6cc7cc8c(scc8)cc7cc6cc5cc4c3ccc12
T8.4,s1ccc2cc3c4ccc5cc6cc7cc8c(scc8)cc7cc6cc5c4ccc3cc12
T8.5,s1ccc2cc3c4c(ccc5cc6cc7cc8c(scc8)cc7cc6cc45)ccc3cc12
T8.6,s1ccc2cc3c4cc5ccc6cc7cc8c(scc8)cc7cc6c5cc4ccc3cc12
T8.7,s1ccc2c1ccc1cc3c4ccc5cc6cc7c(scc7)cc6cc5c4ccc3cc21
T8.8,s1ccc2c1c1c(ccs1)c1cc3cc4cc5cc6ccccc6cc5cc4cc3cc21
T8.9,s1ccc2c1c1ccccc1c1cc3cc4c(cc3cc21)c1c(cccc1)c1c4ccs1
